"lon","lat","time"
5.3712572,53.0753943,2013-07-21 12:46:18
5.3712432,53.075599,2013-07-21 13:07:22
5.3713704,53.0756181,2013-07-21 13:37:35
5.3712763,53.0756645,2013-07-21 14:08:08
5.3711755,53.0756605,2013-07-21 14:23:05
5.3711004,53.0758872,2013-07-21 14:38:12
5.3712637,53.075723,2013-07-21 14:53:40
5.3712689,53.0756487,2013-07-21 15:08:41
5.3714213,53.0756197,2013-07-21 15:37:46
5.3723518,53.0761143,2013-07-21 16:07:38
5.3725553,53.0761355,2013-07-21 16:22:31
5.3726496,53.0765556,2013-07-21 16:37:51
5.3725345,53.0765051,2013-07-21 17:07:38
5.3714724,53.0778498,2013-07-21 17:37:38
5.3715231,53.0780185,2013-07-21 18:07:04
5.3712414,53.0780162,2013-07-21 18:37:23
5.3711833,53.0779983,2013-07-21 18:52:23
5.3697437,53.0786669,2013-07-21 19:07:23
5.3697093,53.0785012,2013-07-21 19:22:16
5.3699433,53.0784284,2013-07-21 19:37:27
5.3700104,53.0782533,2013-07-21 19:52:49
5.3707634,53.0780915,2013-07-21 20:08:08
5.371246,53.0779838,2013-07-21 20:37:58
5.3719947,53.0774861,2013-07-21 21:07:51
5.3712927,53.078014,2013-07-21 21:38:08
5.3708188,53.0778912,2013-07-21 22:08:39
5.3703692,53.0781002,2013-07-21 22:39:05
5.3704385,53.0784142,2013-07-21 23:09:08
5.3701141,53.0788094,2013-07-21 23:39:03
5.3685108,53.0786836,2013-07-22 00:08:53
5.3689434,53.0789384,2013-07-22 00:38:49
5.3693394,53.0790303,2013-07-22 01:09:05
5.3702609,53.0789001,2013-07-22 01:39:01
5.3698937,53.0761852,2013-07-22 02:09:05
5.3698565,53.0761309,2013-07-22 02:39:15
5.369378,53.0776989,2013-07-22 03:09:07
5.3700757,53.0774723,2013-07-22 03:37:23
5.3709202,53.0773363,2013-07-22 03:52:19
5.3713701,53.0773339,2013-07-22 04:07:41
5.3720409,53.0780041,2013-07-22 04:22:43
5.3718378,53.0763063,2013-07-22 04:52:47
5.3716802,53.0761352,2013-07-22 05:23:42
5.3716125,53.0760105,2013-07-22 05:38:55
5.3707891,53.0760013,2013-07-22 05:54:33
5.3709071,53.0759603,2013-07-22 06:09:38
5.3708862,53.0759343,2013-07-22 06:24:34
5.3708835,53.0759393,2013-07-22 06:39:31
5.370877,53.0759388,2013-07-22 06:54:26
5.3708892,53.0759627,2013-07-22 07:09:23
5.3709033,53.0759478,2013-07-22 07:24:40
5.370861,53.0758867,2013-07-22 07:40:01
5.3708886,53.0759499,2013-07-22 07:54:57
5.3709297,53.0759663,2013-07-22 08:09:54
5.3708952,53.0759151,2013-07-22 08:24:50
5.3709258,53.0759207,2013-07-22 08:39:46
5.370885,53.075928,2013-07-22 08:54:41
5.3709238,53.0759172,2013-07-22 09:09:53
5.3709242,53.0759147,2013-07-22 09:24:49
5.3709805,53.0759414,2013-07-22 09:39:48
5.3702174,53.0781487,2013-07-22 09:54:41
5.3701356,53.0783855,2013-07-22 10:10:56
5.3699796,53.0785335,2013-07-22 10:25:52
5.3698773,53.0787012,2013-07-22 10:40:57
5.3700562,53.0787135,2013-07-22 10:56:38
5.3700523,53.0788592,2013-07-22 11:11:32
5.3702554,53.0789667,2013-07-22 11:26:36
5.3698469,53.0791725,2013-07-22 11:41:36
5.3702349,53.0789116,2013-07-22 12:11:28
5.3701882,53.0788599,2013-07-22 12:26:40
5.3698384,53.0788253,2013-07-22 12:41:36
5.367913,53.0794411,2013-07-22 13:06:58
5.3678642,53.0794741,2013-07-22 13:21:51
5.3681007,53.0795933,2013-07-22 13:36:47
5.3682037,53.079713,2013-07-22 13:51:57
5.3681124,53.0795132,2013-07-22 14:08:03
5.3692952,53.0792181,2013-07-22 14:23:16
5.3689329,53.078951,2013-07-22 14:38:10
5.368544,53.0789005,2013-07-22 15:06:38
5.3687028,53.0789152,2013-07-22 15:21:44
5.3688507,53.0789057,2013-07-22 15:37:28
5.3693393,53.0788291,2013-07-22 16:07:13
5.3698754,53.0785476,2013-07-22 16:37:09
5.369897,53.0782853,2013-07-22 16:52:14
5.3698898,53.0782518,2013-07-22 17:07:33
5.3713658,53.0763141,2013-07-22 17:37:44
5.3715083,53.0765078,2013-07-22 17:54:39
5.3726893,53.0761764,2013-07-22 18:24:46
5.3727182,53.075943,2013-07-22 18:39:41
5.3727055,53.0757384,2013-07-22 18:58:58
5.3719547,53.0757264,2013-07-22 19:29:08
5.3698207,53.0757459,2013-07-22 19:44:13
5.3709736,53.0751956,2013-07-22 20:14:06
5.3718634,53.0758227,2013-07-22 20:44:13
5.3692226,53.0759145,2013-07-22 21:14:05
5.3688599,53.0761366,2013-07-22 21:44:23
5.3688635,53.0776221,2013-07-22 22:14:20
5.3687653,53.0776224,2013-07-22 22:44:43
5.3688235,53.0774433,2013-07-22 23:14:46
5.3693762,53.0776417,2013-07-22 23:45:05
5.3687292,53.0783788,2013-07-23 00:15:38
5.3691399,53.0788526,2013-07-23 00:45:44
5.3692102,53.0791775,2013-07-23 01:15:56
5.3689874,53.0793603,2013-07-23 01:46:42
5.3690806,53.0787821,2013-07-23 02:16:44
5.3690797,53.0787553,2013-07-23 02:46:34
5.3691809,53.0787978,2013-07-23 03:16:58
5.3693779,53.0787455,2013-07-23 03:44:39
5.3694377,53.078756,2013-07-23 03:59:37
5.3695432,53.0788249,2013-07-23 04:14:44
5.3696206,53.0787731,2013-07-23 04:29:56
5.369752,53.0787916,2013-07-23 04:45:08
5.3699017,53.0788417,2013-07-23 05:00:39
5.3701887,53.0788846,2013-07-23 05:16:09
5.3701305,53.0788995,2013-07-23 05:31:05
5.3702247,53.0788883,2013-07-23 05:46:02
5.37047,53.0788011,2013-07-23 06:01:39
5.3705694,53.0786985,2013-07-23 06:16:43
5.3706951,53.078673,2013-07-23 06:31:53
5.3708102,53.0784139,2013-07-23 07:03:06
5.3703667,53.0758764,2013-07-23 07:18:06
5.3705289,53.0759287,2013-07-23 07:33:23
5.370586,53.075944,2013-07-23 07:48:24
5.3706015,53.0759459,2013-07-23 08:03:20
5.3706311,53.075955,2013-07-23 08:18:35
5.3705986,53.0759474,2013-07-23 08:48:23
5.3706713,53.0759597,2013-07-23 09:03:23
5.3705662,53.0758868,2013-07-23 09:18:16
5.3706799,53.0759569,2013-07-23 09:33:38
5.3685476,53.0790092,2013-07-23 09:48:59
5.3688865,53.0788928,2013-07-23 10:03:51
5.3692207,53.0787297,2013-07-23 10:18:46
5.3689812,53.0792203,2013-07-23 10:33:43
5.3689893,53.0792427,2013-07-23 10:48:39
5.3688714,53.0791475,2013-07-23 11:04:59
5.3686773,53.0789758,2013-07-23 11:19:50
5.3682764,53.0789567,2013-07-23 11:35:03
5.3679703,53.0790727,2013-07-23 11:49:58
5.3704693,53.0777884,2013-07-23 12:04:55
5.3707656,53.0775346,2013-07-23 12:19:52
5.3707586,53.0775557,2013-07-23 12:34:46
5.3707843,53.0775165,2013-07-23 12:49:42
5.3707283,53.0775149,2013-07-23 13:04:40
5.3479451,53.094561,2013-07-23 13:20:08
5.3686874,53.079038,2013-07-23 13:35:03
5.3687777,53.0791272,2013-07-23 13:49:58
5.36856,53.0791974,2013-07-23 14:04:54
5.3687329,53.0791696,2013-07-23 14:19:49
5.3688406,53.0791257,2013-07-23 14:34:45
5.3688482,53.0791422,2013-07-23 14:49:59
5.3689159,53.0791663,2013-07-23 15:04:57
5.368928,53.0791046,2013-07-23 15:19:52
5.3688627,53.0791556,2013-07-23 15:34:45
5.3688609,53.0791671,2013-07-23 15:49:43
5.368878,53.079251,2013-07-23 16:06:08
5.3691917,53.0793778,2013-07-23 16:21:20
5.3691201,53.0793158,2013-07-23 16:51:32
5.36934,53.0792028,2013-07-23 17:06:30
5.370165,53.0790295,2013-07-23 17:21:24
5.3703689,53.0788447,2013-07-23 17:36:20
5.3717833,53.0774429,2013-07-23 17:51:18
5.3716734,53.0775942,2013-07-23 18:06:28
5.3715823,53.0776181,2013-07-23 18:21:26
5.3705948,53.0757093,2013-07-23 18:36:24
5.3706565,53.0757437,2013-07-23 18:51:17
5.3707667,53.0756741,2013-07-23 19:06:13
5.3707409,53.0756565,2013-07-23 19:21:39
5.3707388,53.0756496,2013-07-23 19:51:48
5.3707647,53.0756728,2013-07-23 20:21:41
5.3708426,53.0756865,2013-07-23 20:51:44
5.3700668,53.075467,2013-07-23 21:21:56
5.3692331,53.0756577,2013-07-23 22:22:32
5.3696008,53.0756986,2013-07-23 22:52:18
5.3700903,53.0758073,2013-07-23 23:22:31
5.3704757,53.0759467,2013-07-23 23:52:18
5.370401,53.0760029,2013-07-24 00:22:39
5.3706608,53.076036,2013-07-24 00:52:48
5.3708109,53.0760823,2013-07-24 01:22:41
5.3711679,53.0760558,2013-07-24 01:52:41
5.3713851,53.0763228,2013-07-24 02:23:38
5.3713352,53.0766193,2013-07-24 02:53:36
5.3716842,53.0768357,2013-07-24 03:23:31
5.3699537,53.0784458,2013-07-24 03:38:56
5.3815642,53.1017941,2013-07-24 03:59:12
5.4183639,53.156724,2013-07-24 04:14:13
5.4179845,53.1567623,2013-07-24 04:33:54
5.4176788,53.1567516,2013-07-24 04:49:01
5.4312648,53.1100584,2013-07-24 05:19:28
5.4314976,53.1101198,2013-07-24 05:34:23
5.4317169,53.1103839,2013-07-24 05:49:35
5.4317168,53.1103804,2013-07-24 06:04:33
5.43215,53.1103024,2013-07-24 06:19:28
5.431443,53.1098869,2013-07-24 06:34:27
5.4311331,53.1098561,2013-07-24 06:49:19
5.4306203,53.1095174,2013-07-24 07:04:14
5.4319726,53.1105956,2013-07-24 07:19:28
5.4313788,53.1104378,2013-07-24 07:34:39
5.4309978,53.1102903,2013-07-24 07:49:34
5.4311076,53.1098241,2013-07-24 08:20:36
5.430935,53.109998,2013-07-24 08:35:26
5.4312808,53.1103431,2013-07-24 08:50:21
5.4311937,53.110892,2013-07-24 09:20:33
5.4312374,53.1108457,2013-07-24 09:35:26
5.4056699,53.1084217,2013-07-24 09:50:38
5.4057034,53.1084334,2013-07-24 10:05:34
5.4046774,53.1085004,2013-07-24 10:34:55
5.4046972,53.1084966,2013-07-24 11:04:51
5.4043106,53.1090031,2013-07-24 11:35:08
5.4043318,53.1090097,2013-07-24 11:50:04
5.4043049,53.1090032,2013-07-24 12:05:00
5.4038445,53.1092801,2013-07-24 12:20:12
5.3701447,53.0780372,2013-07-24 12:35:18
5.3704292,53.0774772,2013-07-24 13:05:03
5.3711182,53.0760807,2013-07-24 13:49:37
5.3710654,53.0760923,2013-07-24 14:05:08
5.370593,53.0761047,2013-07-24 14:20:11
5.4059525,53.0325617,2013-07-24 14:35:08
5.4057828,52.9914476,2013-07-24 14:50:03
5.4061004,52.9914475,2013-07-24 15:04:59
5.4055023,52.9913431,2013-07-24 15:19:56
5.4070257,52.99204,2013-07-24 15:35:19
5.4055536,52.9924768,2013-07-24 16:05:32
5.4048768,52.9928393,2013-07-24 16:35:22
5.4043353,52.9925755,2013-07-24 17:05:29
5.4042091,52.9927527,2013-07-24 17:20:42
5.4043037,52.9925786,2013-07-24 17:35:38
5.4184971,52.9811116,2013-07-24 18:05:17
5.4173359,52.9760175,2013-07-24 18:20:10
5.410209,52.9759502,2013-07-24 18:35:07
5.423741,52.9955575,2013-07-24 19:04:43
5.4065301,52.9926648,2013-07-24 19:19:50
5.4062708,52.9927838,2013-07-24 19:35:02
5.4059123,52.9927165,2013-07-24 19:50:21
5.3982216,52.9965672,2013-07-24 20:05:38
5.3981299,52.9965369,2013-07-24 20:35:58
5.3980186,52.9965463,2013-07-24 21:05:48
5.3980634,52.9965502,2013-07-24 21:36:08
5.3982526,52.996566,2013-07-24 22:06:01
5.398308,52.9966056,2013-07-24 23:06:48
5.3983401,52.9965988,2013-07-24 23:36:44
5.3983982,52.9966366,2013-07-25 00:36:45
5.3984019,52.9966135,2013-07-25 01:06:35
5.3983406,52.9966041,2013-07-25 01:37:08
5.3983392,52.9965902,2013-07-25 02:07:04
5.4047788,52.9924595,2013-07-25 02:36:55
5.4049985,52.992484,2013-07-25 03:07:06
5.3983645,52.9965738,2013-07-25 03:36:08
5.3982661,52.9965642,2013-07-25 03:51:19
5.4059304,52.9926752,2013-07-25 04:06:38
5.4060098,52.9925518,2013-07-25 04:21:42
5.4052216,52.9919412,2013-07-25 04:36:37
5.4338532,52.9870884,2013-07-25 04:51:52
5.4666033,52.979942,2013-07-25 05:06:57
5.4707406,52.9494799,2013-07-25 05:22:10
5.4704794,52.9495151,2013-07-25 05:37:20
5.4705706,52.9481539,2013-07-25 05:52:36
5.4350707,52.9236274,2013-07-25 06:07:34
5.4270374,52.9194273,2013-07-25 06:22:46
5.4762215,52.9087993,2013-07-25 06:37:48
5.4763306,52.908719,2013-07-25 06:52:52
5.476461,52.9088303,2013-07-25 07:07:48
5.4764649,52.9088041,2013-07-25 07:22:44
5.476275,52.9087769,2013-07-25 07:38:06
5.476204,52.9088192,2013-07-25 07:53:08
5.476363,52.9087114,2013-07-25 08:08:21
5.4747888,52.9259021,2013-07-25 08:34:31
5.4495018,52.9389051,2013-07-25 08:49:25
5.4382689,52.9308476,2013-07-25 09:04:21
5.4384548,52.9309798,2013-07-25 09:19:29
5.4381971,52.9310328,2013-07-25 09:34:38
5.4380254,52.9309273,2013-07-25 10:05:08
5.4379913,52.9309829,2013-07-25 10:20:15
5.4380334,52.9310096,2013-07-25 10:35:15
5.4380032,52.930938,2013-07-25 11:04:41
5.4380312,52.9309763,2013-07-25 11:34:29
5.4378863,52.930939,2013-07-25 12:04:08
5.4380532,52.9309423,2013-07-25 12:34:05
5.4379749,52.9309911,2013-07-25 12:49:06
5.4379563,52.9307888,2013-07-25 13:04:21
5.4380448,52.93091,2013-07-25 13:34:06
5.4381111,52.9309009,2013-07-25 14:04:03
5.4380492,52.9309077,2013-07-25 14:33:56
5.4379065,52.9306945,2013-07-25 15:03:47
5.4378944,52.9307899,2013-07-25 15:34:08
5.4380258,52.9307126,2013-07-25 15:49:05
5.4380239,52.93083,2013-07-25 16:04:32
5.4376817,52.9309099,2013-07-25 16:33:47
5.4374883,52.9309632,2013-07-25 16:49:01
5.4375567,52.9309573,2013-07-25 17:04:32
5.4375555,52.9309654,2013-07-25 17:19:29
5.4380547,52.9305436,2013-07-25 17:34:24
5.4379475,52.9304117,2013-07-25 17:49:20
5.4377775,52.9303625,2013-07-25 18:04:31
5.4380732,52.9308905,2013-07-25 18:19:28
5.435066,52.9312514,2013-07-25 18:34:25
5.4004749,53.0329571,2013-07-25 19:04:31
5.4005094,53.0320084,2013-07-25 19:35:08
5.3995858,53.0314684,2013-07-25 20:05:06
5.4004874,53.0317569,2013-07-25 20:35:00
5.4008066,53.0323628,2013-07-25 21:04:46
5.4004267,53.032048,2013-07-25 21:35:33
5.4006297,53.0320301,2013-07-25 22:05:18
